guest,HUM001,32-1,3,3,○,"2025-11-18 05:37:50"
guest,HUM002,32-2,5,3,×,"2025-11-18 05:45:05"
guest,HUM001,32-1,3,3,○,"2025-11-18 05:57:12"
guest,HUM001,32-1,3,3,○,"2025-11-19 02:32:32",人間の尊厳と自立
